id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
04-159,China,CHN,"710","2017","39021",Bijie,"2",Guizhou,Bijie,NA,Bijie ,"0",NA,landslide,2017-0363,"27.06817965","105.214396"
17-Apr,Afghanistan,AFG,"700","2013","39035",Zebak,"2",Badakhshan,Zebak,NA,Zebak district ,"0",NA,landslide,2013-0414,"36.3110983","71.28523376"
04-178,Colombia,COL,"100","1991","39037",Frontino,"2",Antioquia,Frontino,NA, Frontino ,"0",NA,landslide,1991-0129,"6.709327834","-76.31932023"
04-182,Colombia,COL,"100","1995","39047",Dosquebradas,"2",Risaralda,Dosquebradas,NA, Dosquebradas,"0",NA,landslide,1995-0122,"4.825198359","-75.68980945"
04-182,Colombia,COL,"100","1995","39048",Santa Rosa De Cabal,"2",Risaralda,Santa Rosa De Cabal,NA,Santa Rose de Cabal,"0",NA,landslide,1995-0122,"4.832213741","-75.57196802"
04-187,Colombia,COL,"100","2001","39056",Filadelfia,"2",Caldas,Filadelfia,NA,Filadelfia district ,"0",NA,landslide,2001-0637,"5.282661331","-75.62368938"
04-188,Colombia,COL,"100","2001","39058",Valdivia,"2",Antioquia,Valdivia,NA,Valdivia district,"0",NA,landslide,2001-0395,"7.27388552","-75.39568841"
04-189,Colombia,COL,"100","2002","39061",Montecristo,"2",Bolivar,Montecristo,NA,Montecristo district,"0",NA,landslide,2002-0728,"7.995643929","-74.45817236"
04-190,Colombia,COL,"100","2003","39064",Manizales,"2",Caldas,Manizales,NA,Manizales district ,"0",NA,landslide,2003-0138,"5.07163639","-75.54191457"
04-191,Colombia,COL,"100","2008","39066",Medellin,"2",Antioquia,Medellin,NA,Medellin district ,"0",NA,landslide,2008-0218,"6.265185701","-75.6364485"
04-192,Colombia,COL,"100","2009","39068",Novita,"2",Choco,Novita,NA,Novita district ,"0",NA,landslide,2009-0637,"4.858549228","-76.58451181"
04-193,Colombia,COL,"100","2009","39070",Soacha,"2",Cundinamarca,Soacha,NA,Altos de Cazuca ,"0",NA,landslide,2009-0096,"4.524589932","-74.27819934"
04-194,Colombia,COL,"100","2010","39072",Giraldo,"2",Antioquia,Giraldo,NA,Giraldo district ,"0",NA,landslide,2010-0502,"6.661281617","-75.95591292"
04-195,Colombia,COL,"100","2010","39075",Medellin,"2",Antioquia,Medellin,NA,Medellin district,"0",NA,landslide,2010-0625,"6.265185701","-75.6364485"
04-195,Colombia,COL,"100","2010","39076",Bello,"2",Antioquia,Bello,NA,Bello town ,"0",NA,landslide,2010-0625,"6.356133266","-75.6020526"
04-196,Colombia,COL,"100","2011","39078",Manizales,"2",Caldas,Manizales,NA,Manizales district ,"0",NA,landslide,2011-0431,"5.07163639","-75.54191457"
04-197,Colombia,COL,"100","2015","39081",Salgar,"2",Antioquia,Salgar,NA,Salgar city ,"0",NA,landslide,2015-0171,"5.991760487","-76.02969465"
04-198,Colombia,COL,"100","2017","39086",San Miguel De Mocoa,"2",Putumayo,San Miguel De Mocoa,NA, Chaparros,"0",NA,landslide,2017-0090,"1.158570803","-76.63419257"
04-199,Colombia,COL,"100","2017","39088",Manizales,"2",Caldas,Manizales,NA,Manizales ,"0",NA,landslide,2017-0119,"5.07163639","-75.54191457"
04-205,Democratic Republic Of The Congo,ZAI,"490","2014","39095",Bukavu,"2",Sud-Kivu,Bukavu,NA,Bukavu district ,"0",NA,landslide,2014-0028,"-2.500488938","28.8458566"
04-207,Costa Rica,COS,"94","2000","39099",Montes De Oro,"2",Puntarenas,Montes De Oro,NA,Montes de Oro district,"0",NA,landslide,2000-0374,"10.12748325","-84.72770399"
21-Apr,Afghanistan,AFG,"700","2015","39105",Khwahan,"2",Badakhshan,Khwahan,NA,Geriy Bala village ,"0",NA,landslide,2015-0151,"37.90202924","70.57609371"
04-219,Ecuador,ECU,"130","1993","39117",Zamora,"2",Zamora Chinchipe,Zamora,NA,Zamora province,"0",NA,landslide,1993-0013,"-4.012155988","-78.98280173"
04-220,Ecuador,ECU,"130","2000","39121",Guano,"2",Chimborazo,Guano,NA, Guano districts ,"0",NA,landslide,2000-0724,"-1.544082556","-78.66116884"
04-220,Ecuador,ECU,"130","2000","39122",Penipe,"2",Chimborazo,Penipe,NA,Penipe,"0",NA,landslide,2000-0724,"-1.567423151","-78.44965626"
04-221,Ecuador,ECU,"130","2000","39123",Quito,"2",Pichincha,Quito,NA,Quito district ,"0",NA,landslide,2000-0206,"-0.104175125","-78.51910562"
04-223,Ecuador,ECU,"130","2013","39126",Camilo Ponce Enriquez,"2",Azuay,Camilo Ponce Enriquez,NA,Camillo Ponce Enriquez district,"0",NA,landslide,2013-0014,"-3.050852489","-79.67220507"
04-228,Ethiopia,ETI,"530","2000","39132",Wolayita,"2","Southern Nations; Nationalities And Peoples",Wolayita,NA,Wolayita district,"0",NA,landslide,2000-0524,"6.861027012","37.71561201"
23-Apr,Afghanistan,AFG,"700","2017","39136",Darwaz,"2",Badakhshan,Darwaz,NA,Dawaz Bala ,"0",NA,landslide,2017-0027,"38.21096613","70.93921779"
04-247,Guatemala,GUA,"90","2002","39156",San Lucas Toliman,"2",Solola,San Lucas Toliman,NA,San Lucas Toliman,"0",NA,landslide,2002-0583,"14.59278649","-91.14290824"
