id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
05-722,Peru,PER,"135","2006","42803",Omate,"3",Moquegua,General Sanchez Cerro,Omate, Omate,"0",NA,volcanic activity,2006-0213,"-16.64673479","-70.96303182"
05-722,Peru,PER,"135","2006","42804",Chojata,"3",Moquegua,General Sanchez Cerro,Chojata, Chojata,"0",NA,volcanic activity,2006-0213,"-16.45665948","-70.57178169"
05-150,Chile,CHL,"155","2015","40368",Valdivia,"2",Los Rios,Valdivia,NA, Conaripe municipality ,"0",NA,volcanic activity,2015-0143,"-39.87978634","-72.67173123"
05-151,Chile,CHL,"155","2015","40373",Llanquihue,"2",Los Lagos,Llanquihue,NA,Llanquihue district,"0",NA,volcanic activity,2015-0142,"-41.3937943","-72.77471673"
05-197,Colombia,COL,"100","1985","40527",Armero,"2",Tolima,Armero,NA,Armero,"0",NA,volcanic activity,1985-0132,"4.988725505","-74.88129848"
05-197,Colombia,COL,"100","1985","40528",Villahermosa,"2",Tolima,Villahermosa,NA, Villahermosa,"0",NA,volcanic activity,1985-0132,"4.942093627","-75.19033113"
05-197,Colombia,COL,"100","1985","40529",Libano,"2",Tolima,Libano,NA, Libano,"0",NA,volcanic activity,1985-0132,"4.835620991","-75.10833347"
05-197,Colombia,COL,"100","1985","40531",Herveo,"2",Tolima,Herveo,NA, Herveo,"0",NA,volcanic activity,1985-0132,"5.061576941","-75.26952664"
05-202,Colombia,COL,"100","2005","40539",Sandona,"2",Narino,Sandona,NA, Sandona,"0",NA,volcanic activity,2005-0731,"1.307223023","-77.48283191"
05-202,Colombia,COL,"100","2005","40540",Tangua,"2",Narino,Tangua,NA, Tangua,"0",NA,volcanic activity,2005-0731,"1.091902853","-77.38644999"
05-202,Colombia,COL,"100","2005","40541",Yacuanquer,"2",Narino,Yacuanquer,NA, Yacuanquer districts ,"0",NA,volcanic activity,2005-0731,"1.161120929","-77.44198564"
05-202,Colombia,COL,"100","2005","40543",Consaca,"2",Narino,Consaca,NA,Consacra,"0",NA,volcanic activity,2005-0731,"1.226516066","-77.47820092"
05-203,Colombia,COL,"100","2006","40544",La Florida,"2",Narino,La Florida,NA, La Florida districts ,"0",NA,volcanic activity,2006-0154,"1.356932801","-77.41270196"
05-204,Colombia,COL,"100","2006","40546",Sandona,"2",Narino,Sandona,NA, Sandona,"0",NA,volcanic activity,2006-0380,"1.307223023","-77.48283191"
